Percent daily value based on,item,brand,Distributed by/Manufactured by,Packaged in,certified organic by,serving size,servings per container,net weight,calories,calories from fat,total fat,saturated fat,trans fat,Polyunsaturated fat,Monosaturated fat,cholesterol,sodium,Potassium,total carbohydrates,dietary fibers,soluble fiber,sugars,added sugars,protein,Vitamin A (Retinol),Vitamin B,Vitamin C (Ascorbic acid),Vitamin D (Calciferol),Vitamin E (Tocopherol),Vitamin K (Phylloquinone),Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B5 (Pantothenic acid),Vitamin B6 (Pyridoxine),Vitamin B7 (Biotin),Vitamin B9 (Folate/Folic acid),Vitamin B12 (Cyanocobalamin/Cobalmins),Calcium,Copper,Iron,Phosphorus,Magnesium,Zinc,Manganese,Omega-3 (alpha-linolenic acid ALA),Omega-6 (linolenic acid LA),Omega-9 (oleic acid OA),Ligans (SDG),Lepidium meyenil (organic maca root),black pepper extract (95 % piperine),organic bilberry fruit (Vaccinium myrtillus),Bilberry fruit extract (Vaccinium myrtillus) standardized to 25 % anthocyanosides,LuteinRich Lutein (Tagetes erecta) (marigold flower extract),ingredients
2000 calorie diet,sliced premium almonds,Mariani Nut Company (Since 1972),"Mariani Nut Company | Winters, CA 95694",,,30 g (1/4 cup),29,32 oz (907 g),170,,15 g (19 %),1 g (5 %),0 g,3.5 g,10 g,0 mg (0 %),0 mg (0 %),220 mg (4 %),6 g,4 g (14 %),,1 g,0 g (0 %),6 g,,,,0 mcg (0 %),7.7 mg (50 %),,,0.3 mg (25 %),,,,,,,80 mg (6 %),0.3 mg (35 %),1.1 mg (6 %),144 mg (10 %),81 mg (20 %),,0.7 mg (30 %),,,,,,,,,,sliced almonds
,almonds,Kirkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 calorie diet,walnuts,Kirkland,,,,30 g (1/4 cup),,,200,170,19 g (29 %),1.5 g,0 g,13 g,2.5 g,0 mg,1 mg,125 mg,4 g,2 g,,<1 g,,5 g,0%,,0%,,,,,,,,,,,,2%,,4%,10%,10%,,50%,,,,,,,,,,
2000 calorie diet,pecans,Kirkland,,,,30 g (1/4 cup),,,210,190,21 g (31 %),2 g,0 g,,,0 mg,0 mg,,4 g,2.9 g,,1 g,,3 g,0%,,0%,,,,,,,,,,,,2%,,4%,,,,,,,,,,,,,,
2000 calorie diet,"cashews (Organic whole cashews, unsalted unroasted)",Kirkland Signature,Costco Wholesale Corporation P.O Box 34535 Seattle WA 98124-1535 USA 1-800-774-2682,,,1 oz (about 15 pieces),,,150,,12 g (18 %),2 g (10 %),0 g,,,0 mg,0 mg,,8 g (3 %),> 1 g (4 %),,2 g,,5 g,0%,,0%,,,,,,,,,,,,0%,,10%,,,,,,,,,,,,,,
2000 calorie diet,raisins,Kirkland,,,,40 g (1/4 cup),,,120,0,0 g,0 g,0 g,,,0 mg,10 mg,310 mg,31 g (10 %),2 g (9 %),,29 g,,1 g,0%,,0%,,,,,,,,,,,,2%,,6%,,,,,,,,,,,,,,
2000 calorie diet,pepitas (shelled pumpkin seeds raw),Sincerely Nuts,,China,,30 g (~1 oz),,,170,110,13 g (19 %),2.5 g (12 %),,,,0 mg,0 mg,,4 g (1 %),3 g (17 %),,0 g,,10 g,2%,,0%,,,,,,,,,,,,0%,,15%,,,,,,,,,,,,,,
2000 calorie diet,"peanuts (Super extra large peanuts: roasted & salted, Virginia variety, extra crunchy)",Kirkland Signature,"Costco Wholesale Corporation, P.O Box 34535, Seattle WA 98124-1535 USA 1-800-774-2682",,,30 g (1/4 cup),,,170,,15 g,2 g (10 %),0 g,,,0 mg,120 mg (5 %),27 mg (2 %),6 g (2 %),3 g (11 %),,0 g,,8 g,,,,0 mcg (0 %),,,,,,,,,,,27 mg (2 %),,2 % (0 mg),,,,,,,,,,,,,,
2000 calorie diet,"roasted hazelnuts (Non-GMO, gluten-free, Kosher)",Aznut,"Best Practice Way LLC AZNUT^TM, West Park, FL 33023",Azerbaijin or/and Turkey,,1 0z (28 g),,,180,,18 g (23 %),1.5 g (8 %),0 g,,,0 mg,0 mg,214 mg (4 %),5 g (2 %),3 g (11 %),,1 g,,4 g,,,,0 mcg (0 %),,,,,,,,,,,35 mg (2 %),,6 % (1 mg),,,,,,,,,,,,,,
,Brazil nuts,SUNBEST,,,,28 g (~1.1 oz),,,190,170,19 g (29 %),4.5 g (23 %),,,,0 mg,0 mg,,4 g (1 %),2 g 6 %),,0 g,,4 g,0%,,0%,,,,,,,,,,,,4%,,6%,,,,,,,,,,,,,,
